0,1,2,Diff,3,Diff,4,Diff,5,Diff,6,Diff,7,Diff,8,Diff,9,Diff,10,Diff,11,Diff,12,Diff,13,Diff,14,Diff
CCCC,-30.1,-27.91,2.19,-29.96123594,0.13876406,-29.92606061,0.173939394,-30.11902111,0.019021108,-29.98470988,0.115290122,-30.17502118,0.075021179,-30.26354901,0.16354901,-29.89175467,0.208245331,-30.051875,0.048125,-30.20520129,0.105201288,-30.33761151,0.23761151,-30.16942583,0.069425827,-30.26076027,0.160760269
CCCCC,-34.98,-32.14,2.84,-34.92927819,0.050721815,-35.02148074,0.041480741,-34.98096291,0.000962905,-34.94763459,0.032365413,-35.07821584,0.098215836,-35.16846154,0.188461538,-34.68558265,0.29441735,-34.63653846,0.343461538,-35.02306054,0.043060542,-34.97273997,0.007260029,-34.89533542,0.084664575,-34.97993997,6.00292E-05
CCCCCC,-39.9,-36.38,3.52,-39.65459992,0.245400075,-39.64995788,0.250042124,-39.69350791,0.206492087,-39.66525199,0.234748006,-39.86904568,0.030954323,-39.87777778,0.022222222,-39.3278688,0.572131204,-39.26294118,0.637058824,-39.7129467,0.187053305,-39.69166667,0.208333333,-39.66842644,0.231573561,-39.61647059,0.283529412
CCCCCCCC,-49.78,-45.5,4.28,-50.29833499,0.51833499,-50.29714286,0.517142857,-50.28367397,0.503673967,-50.29714286,0.517142857,-50.05315549,0.273155492,-49.96571429,0.185714286,-49.38384615,0.396153846,-49.39571429,0.384285714,-50.09949194,0.319491942,-49.84571429,0.065714286,-50.18716109,0.407161093,-50.05,0.27
C[CH]C,21.2,22.61,1.41,20.92319518,0.27680482,20.71321429,0.486785714,20.91954774,0.280452257,20.79935747,0.400642531,20.92900377,0.270996232,21.03975263,0.160247372,20.98814634,0.211853661,20.77785714,0.422142857,20.92832972,0.271670285,20.96310136,0.236898638,20.83407316,0.365926837,20.65428571,0.545714286
C[C]=C,60.36,61.78,1.42,60.0210771,0.338922896,60.07333333,0.286666667,60.07337246,0.286627541,60.14135497,0.218645033,60.10065582,0.259344178,60.04502444,0.314975562,60.035,0.325,60.0337037,0.326296296,60.06266946,0.297330538,60.06463982,0.295360177,60.04506881,0.314931195,60.08038462,0.279615385
[CH2],93.58,94.75,1.17,94.17674605,0.596746048,93.86197328,0.281973276,94.19335381,0.613353807,93.90960135,0.329601352,94.30663514,0.726635137,94.85878773,1.278787727,94.19523324,0.615233245,93.85449671,0.274496715,94.31221893,0.732218929,94.85878773,1.278787727,94.17694414,0.596944144,94.47942802,0.899428024
[CH2]C,28.65,29.94,1.29,28.87759901,0.227599011,28.84074074,0.190740741,28.90871249,0.258712491,28.83666667,0.186666667,28.97554454,0.325544537,28.9107358,0.260735803,28.8879373,0.237937302,28.56230769,0.087692308,28.74360509,0.093605093,28.9107358,0.260735803,28.77539788,0.125397879,28.685,0.035
[CH2]C#C,84,85.37,1.37,83.44000726,0.559992741,83.52066935,0.479330647,83.56896495,0.43103505,83.42063004,0.579369962,83.39378299,0.60621701,83.17645893,0.823541075,83.32303075,0.676969254,83.36733333,0.632666667,83.35884508,0.641154922,83.17204236,0.82795764,83.43555077,0.564449234,83.436,0.564
[CH2]C=C,40.11,41.46,1.35,39.6668497,0.443150303,39.71111111,0.398888889,39.70896808,0.401031924,39.74857143,0.361428571,39.77190582,0.338094178,39.67482542,0.435174584,39.70999208,0.40000792,39.58407407,0.525925926,39.73119405,0.378805948,39.76522542,0.344774584,39.70950703,0.400492969,39.74166703,0.368332969
